Ёжик 0,"Возраст, 1"""
Ёжик 1,Возраст 5
Ёжик 2,Возраст 2
Ёжик 3,Возраст 3»
Ёжик 4,Возраст 5
Ёжик 5,Возраст 5
Ёжик 6,Возраст 5
Ёжик 7,Возраст 2
Ёжик 8,Возраст 3
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
Ёжик 34,Возраст 1
Ёжик 9,Возраст 1
Ёжик 9,Возраст 1
